Attrition,BusinessTravel,Department,Education,EducationField,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
No,Travel_Rarely,Sales,3,Medical,3,2,Sales Executive,1,8463,No,3,3,5,1
No,Travel_Rarely,Research & Development,2,Medical,4,2,Manufacturing Director,1,4450,No,3,3,4,1
Yes,Travel_Rarely,Human Resources,1,Human Resources,1,1,Human Resources,3,1555,No,3,3,1,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,3,Research Scientist,1,9724,No,3,3,1,0
No,Travel_Rarely,Research & Development,2,Life Sciences,3,2,Laboratory Technician,2,5914,No,3,4,13,3
No,Travel_Rarely,Sales,3,Technical Degree,3,1,Sales Representative,3,2579,Yes,3,3,8,0
No,Travel_Rarely,Research & Development,3,Life Sciences,1,1,Laboratory Technician,3,4230,No,3,3,5,4
No,Travel_Rarely,Research & Development,4,Medical,3,1,Laboratory Technician,3,2232,No,3,3,3,1
No,Non-Travel,Sales,3,Medical,2,3,Sales Executive,4,8865,No,3,3,19,12
No,Travel_Rarely,Research & Development,1,Life Sciences,4,1,Laboratory Technician,4,2269,No,3,3,1,0
No,Travel_Rarely,Sales,4,Life Sciences,2,1,Sales Representative,4,3294,Yes,3,2,3,1
No,Travel_Rarely,Sales,4,Marketing,2,3,Sales Executive,4,10231,No,3,4,21,15
No,Travel_Rarely,Research & Development,3,Medical,3,2,Healthcare Representative,2,5933,No,3,2,5,2
No,Travel_Rarely,Research & Development,4,Life Sciences,4,1,Laboratory Technician,3,2213,Yes,3,3,7,1
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Research Scientist,3,3375,No,3,4,3,1
No,Travel_Frequently,Research & Development,4,Technical Degree,2,1,Research Scientist,1,4968,No,3,3,9,0
No,Travel_Frequently,Research & Development,3,Life Sciences,4,2,Healthcare Representative,3,6294,Yes,3,4,3,0
Yes,Travel_Rarely,Research & Development,4,Life Sciences,4,1,Laboratory Technician,1,2743,No,3,3,17,15
Yes,Non-Travel,Research & Development,4,Life Sciences,3,3,Manager,2,11849,Yes,3,2,10,9
No,Travel_Frequently,Research & Development,3,Medical,3,4,Research Director,1,17007,No,3,2,14,6
Yes,Travel_Frequently,Research & Development,2,Medical,2,1,Laboratory Technician,2,3479,No,3,4,5,1
No,Travel_Rarely,Research & Development,2,Medical,3,2,Manufacturing Director,4,5070,No,3,3,5,0
No,Travel_Rarely,Sales,5,Marketing,3,2,Sales Executive,4,9204,No,3,2,4,0
No,Travel_Rarely,Sales,2,Medical,4,2,Sales Executive,1,5605,Yes,4,3,8,7
No,Travel_Rarely,Sales,4,Life Sciences,3,2,Sales Executive,1,6392,No,3,1,2,2
No,Travel_Rarely,Sales,5,Marketing,2,5,Manager,4,19586,No,4,3,36,2
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,3,2318,No,3,3,1,0
No,Travel_Rarely,Sales,3,Medical,4,2,Sales Executive,1,4037,No,4,3,9,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,2,3420,No,3,2,5,1
No,Travel_Rarely,Research & Development,4,Life Sciences,2,2,Manufacturing Director,1,5957,No,3,3,11,5
No,Travel_Rarely,Research & Development,3,Life Sciences,4,2,Healthcare Representative,3,5294,No,3,3,7,1
No,Travel_Rarely,Research & Development,2,Medical,4,2,Manufacturing Director,4,5472,No,3,3,8,1
No,Travel_Frequently,Research & Development,2,Medical,4,2,Healthcare Representative,2,4244,No,4,3,8,3
No,Travel_Rarely,Research & Development,3,Technical Degree,3,3,Manufacturing Director,4,7491,No,3,4,6,1
