Attrition,BusinessTravel,Department,Education,EducationField,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
Yes,Travel_Rarely,Sales,2,Life Sciences,3,2,Sales Executive,4,5993,Yes,3,1,6,0
No,Travel_Frequently,Research & Development,1,Life Sciences,2,2,Research Scientist,2,5130,No,4,3,10,1
Yes,Travel_Rarely,Research & Development,2,Other,2,1,Laboratory Technician,3,2090,Yes,3,3,0,0
No,Travel_Frequently,Research & Development,4,Life Sciences,3,1,Research Scientist,3,2909,Yes,3,3,8,3
No,Travel_Rarely,Research & Development,1,Medical,3,1,Laboratory Technician,2,3468,No,3,3,2,2
No,Travel_Frequently,Research & Development,2,Life Sciences,3,1,Laboratory Technician,4,3068,No,3,2,7,3
No,Travel_Rarely,Research & Development,3,Medical,4,1,Laboratory Technician,1,2670,Yes,4,2,1,0
No,Travel_Rarely,Research & Development,1,Life Sciences,3,1,Laboratory Technician,3,2693,No,4,3,1,0
No,Travel_Frequently,Research & Development,3,Life Sciences,2,3,Manufacturing Director,3,9526,No,4,3,9,1
No,Travel_Rarely,Research & Development,3,Medical,3,2,Healthcare Representative,3,5237,No,3,2,7,7
No,Travel_Rarely,Research & Development,3,Medical,4,1,Laboratory Technician,2,2426,No,3,3,5,0
No,Travel_Rarely,Research & Development,2,Life Sciences,2,2,Laboratory Technician,3,4193,Yes,3,3,9,0
No,Travel_Rarely,Research & Development,1,Life Sciences,3,1,Research Scientist,3,2911,No,3,2,5,4
No,Travel_Rarely,Research & Development,2,Medical,3,1,Laboratory Technician,4,2661,No,3,3,2,1
Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,1,Laboratory Technician,3,2028,Yes,3,3,4,0
No,Travel_Rarely,Research & Development,4,Life Sciences,4,3,Manufacturing Director,1,9980,No,3,3,10,8
No,Travel_Rarely,Research & Development,2,Life Sciences,4,1,Research Scientist,2,3298,Yes,3,2,6,0
No,Non-Travel,Research & Development,2,Medical,4,1,Laboratory Technician,4,2935,Yes,3,2,1,0
No,Travel_Rarely,Sales,4,Life Sciences,2,4,Manager,4,15427,No,3,3,25,3
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,4,3944,Yes,3,3,3,1
No,Non-Travel,Research & Development,2,Other,4,2,Manufacturing Director,3,4011,No,3,2,4,1
Yes,Travel_Rarely,Sales,4,Life Sciences,2,1,Sales Representative,1,3407,No,4,3,5,0
No,Travel_Rarely,Research & Development,4,Life Sciences,3,3,Research Director,2,11994,No,3,3,12,2
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Research Scientist,4,1232,No,3,3,0,0
Yes,Travel_Rarely,Research & Development,1,Medical,3,1,Research Scientist,1,2960,No,3,3,4,1
No,Travel_Rarely,Research & Development,3,Other,3,5,Manager,3,19094,No,3,2,14,4
Yes,Travel_Frequently,Research & Development,1,Life Sciences,1,1,Research Scientist,1,3919,Yes,4,3,10,6
No,Travel_Rarely,Sales,4,Marketing,3,2,Sales Executive,2,6825,No,3,3,9,4
No,Travel_Rarely,Research & Development,4,Medical,2,3,Healthcare Representative,4,10248,No,3,3,22,5
No,Travel_Rarely,Sales,4,Marketing,3,5,Manager,1,18947,No,3,2,2,2
No,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,4,2496,No,3,3,1,0
No,Travel_Rarely,Research & Development,4,Other,3,2,Healthcare Representative,4,6465,Yes,3,4,4,1
No,Travel_Rarely,Research & Development,2,Medical,2,1,Laboratory Technician,3,2206,No,3,3,10,1
Yes,Travel_Rarely,Sales,3,Technical Degree,3,2,Sales Representative,4,2086,No,3,4,1,0
Yes,Travel_Rarely,Research & Development,3,Medical,3,1,Research Scientist,4,2293,Yes,3,2,2,2
No,Travel_Rarely,Research & Development,2,Medical,4,1,Research Scientist,3,2645,No,3,2,5,1
Yes,Travel_Rarely,Sales,2,Marketing,2,1,Sales Representative,3,2683,Yes,3,3,3,0
No,Travel_Rarely,Sales,3,Marketing,3,1,Sales Representative,4,2014,No,3,3,2,2
No,Travel_Rarely,Research & Development,4,Life Sciences,2,1,Research Scientist,1,3419,Yes,3,4,1,0
No,Travel_Frequently,Sales,3,Life Sciences,4,2,Sales Executive,1,5376,No,3,3,5,1
No,Travel_Rarely,Research & Development,2,Other,3,1,Laboratory Technician,4,1951,No,3,3,1,0
No,Travel_Rarely,Research & Development,4,Life Sciences,3,1,Laboratory Technician,1,2341,No,3,3,1,0
Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,1,Laboratory Technician,3,2293,No,3,2,1,0
No,Travel_Frequently,Sales,3,Life Sciences,3,3,Sales Executive,3,8726,No,3,3,9,1
No,Travel_Frequently,Research & Development,2,Medical,3,2,Laboratory Technician,4,4011,No,4,3,12,3
Yes,Travel_Rarely,Research & Development,3,Technical Degree,3,5,Research Director,3,19545,No,3,3,22,15
No,Non-Travel,Sales,4,Marketing,3,2,Sales Executive,3,4568,No,4,3,9,8
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Research Scientist,2,3022,No,4,3,1,0
No,Travel_Frequently,Sales,4,Marketing,3,2,Sales Executive,4,5772,Yes,4,3,9,0
No,Travel_Rarely,Research & Development,1,Life Sciences,4,1,Laboratory Technician,4,2269,No,3,3,1,0
Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,3,Laboratory Technician,3,5381,Yes,3,3,1,0
Yes,Travel_Rarely,Research & Development,4,Technical Degree,3,1,Laboratory Technician,3,3441,Yes,3,2,2,2
No,Travel_Rarely,Sales,5,Marketing,3,2,Sales Executive,1,5454,Yes,4,2,4,1
No,Non-Travel,Research & Development,2,Medical,2,3,Healthcare Representative,1,9884,Yes,3,3,4,2
No,Travel_Rarely,Sales,3,Marketing,2,2,Sales Executive,4,4157,Yes,3,2,2,0
No,Travel_Frequently,Research & Development,2,Life Sciences,3,3,Research Director,4,13458,Yes,3,3,15,8
No,Travel_Frequently,Sales,5,Life Sciences,3,3,Sales Executive,1,9069,No,4,2,9,1
No,Travel_Rarely,Research & Development,4,Medical,3,1,Laboratory Technician,1,4014,Yes,3,3,2,2
No,Travel_Rarely,Research & Development,4,Life Sciences,3,2,Laboratory Technician,4,5915,No,4,2,7,1
No,Travel_Rarely,Research & Development,4,Life Sciences,2,2,Manufacturing Director,3,5993,No,3,4,7,0
No,Travel_Rarely,Research & Development,3,Medical,3,2,Manufacturing Director,4,6162,Yes,4,3,9,7
No,Travel_Frequently,Research & Development,5,Life Sciences,3,2,Laboratory Technician,4,2406,No,3,3,10,9
No,Travel_Rarely,Research & Development,2,Medical,2,5,Research Director,3,18740,Yes,3,2,27,13
No,Travel_Rarely,Sales,3,Life Sciences,3,3,Sales Executive,1,7637,No,3,2,21,7
No,Travel_Rarely,Research & Development,3,Technical Degree,3,3,Healthcare Representative,3,10096,No,3,3,17,12
No,Travel_Rarely,Research & Development,3,Medical,3,4,Manager,3,14756,Yes,3,3,5,0
No,Travel_Frequently,Research & Development,3,Life Sciences,2,2,Manufacturing Director,2,6499,No,3,3,6,0
No,Travel_Rarely,Research & Development,3,Life Sciences,3,3,Research Scientist,1,9724,No,3,3,1,0
No,Travel_Frequently,Research & Development,3,Medical,3,1,Research Scientist,1,2194,No,3,2,3,1
Yes,Travel_Rarely,Research & Development,3,Medical,2,1,Research Scientist,3,3388,Yes,3,2,1,0
No,Travel_Frequently,Sales,1,Life Sciences,2,2,Sales Executive,3,5473,No,3,2,4,1
No,Travel_Rarely,Research & Development,3,Life Sciences,3,1,Research Scientist,2,2703,No,4,3,5,0
No,Travel_Rarely,Research & Development,4,Medical,3,1,Research Scientist,2,2501,No,3,3,1,1
No,Travel_Rarely,Research & Development,3,Life Sciences,3,2,Research Scientist,2,6220,No,3,3,10,0
No,Travel_Rarely,Research & Development,3,Life Sciences,4,1,Laboratory Technician,4,3038,No,3,3,1,0
No,Travel_Rarely,Research & Development,4,Life Sciences,3,2,Manufacturing Director,4,4424,No,4,3,11,1
No,Travel_Rarely,Sales,4,Marketing,2,2,Sales Executive,1,4312,No,3,3,15,2
No,Travel_Rarely,Research & Development,4,Other,3,3,Research Director,1,13245,Yes,3,4,0,0
No,Travel_Rarely,Research & Development,4,Medical,3,3,Research Director,3,13664,No,3,4,5,0
No,Travel_Rarely,Human Resources,2,Medical,3,2,Human Resources,2,5021,Yes,4,3,4,0
No,Travel_Rarely,Research & Development,1,Life Sciences,2,2,Laboratory Technician,4,5126,Yes,3,2,10,3
No,Travel_Rarely,Research & Development,3,Medical,2,1,Research Scientist,3,2859,No,3,3,6,0
No,Travel_Rarely,Sales,2,Life Sciences,3,3,Sales Executive,4,10239,No,3,3,1,1
No,Non-Travel,Research & Development,3,Medical,1,2,Research Scientist,4,5329,Yes,3,3,13,1
No,Travel_Rarely,Research & Development,2,Medical,3,2,Manufacturing Director,2,4325,No,3,3,5,1
No,Travel_Rarely,Research & Development,3,Life Sciences,1,3,Manufacturing Director,4,7260,No,3,2,6,0
No,Travel_Rarely,Sales,1,Technical Degree,3,1,Sales Representative,1,2322,No,3,3,0,0
No,Travel_Rarely,Research & Development,4,Life Sciences,3,1,Laboratory Technician,4,2075,No,4,3,4,0
No,Travel_Rarely,Research & Development,3,Life Sciences,2,2,Healthcare Representative,4,4152,No,3,3,11,10
Yes,Travel_Rarely,Sales,2,Medical,2,3,Sales Executive,4,9619,No,3,3,9,4
No,Travel_Frequently,Research & Development,4,Life Sciences,2,4,Healthcare Representative,2,13503,No,4,2,22,11
No,Travel_Rarely,Sales,4,Marketing,3,2,Sales Executive,4,5441,Yes,4,1,10,1
No,Travel_Rarely,Sales,2,Medical,2,2,Sales Executive,2,5209,Yes,3,2,11,2
No,Travel_Frequently,Research & Development,3,Medical,2,3,Healthcare Representative,1,10673,Yes,3,2,10,9
No,Travel_Rarely,Sales,4,Medical,3,2,Sales Executive,3,5010,No,3,3,11,5
No,Travel_Rarely,Research & Development,4,Technical Degree,3,3,Research Director,3,13549,No,3,1,4,0
No,Travel_Rarely,Sales,2,Other,3,2,Sales Executive,3,4999,No,4,2,3,0
No,Non-Travel,Sales,3,Medical,3,2,Sales Executive,3,4221,No,3,4,5,0
No,Travel_Rarely,Sales,4,Medical,3,4,Sales Executive,3,13872,No,3,2,37,1
No,Non-Travel,Research & Development,3,Medical,3,2,Laboratory Technician,2,2042,No,3,4,3,1
Yes,Travel_Rarely,Human Resources,4,Human Resources,3,1,Human Resources,1,2073,Yes,4,3,3,0
No,Travel_Rarely,Research & Development,1,Life Sciences,3,1,Research Scientist,1,2956,No,3,3,1,0
Yes,Travel_Frequently,Research & Development,3,Life Sciences,2,1,Laboratory Technician,4,2926,Yes,3,3,1,1
No,Travel_Rarely,Research & Development,4,Other,3,2,Research Scientist,3,4809,No,3,3,16,2
No,Non-Travel,Research & Development,2,Life Sciences,2,2,Healthcare Representative,4,5163,No,3,4,1,0
No,Non-Travel,Human Resources,4,Human Resources,2,5,Manager,4,18844,No,4,3,3,2
No,Travel_Frequently,Research & Development,3,Life Sciences,3,5,Research Director,2,18172,Yes,3,2,8,0
Yes,Travel_Rarely,Sales,3,Marketing,2,2,Sales Executive,3,5744,Yes,3,3,6,0
No,Travel_Rarely,Research & Development,1,Medical,2,1,Research Scientist,4,2889,No,3,3,2,2
No,Travel_Rarely,Research & Development,3,Medical,3,1,Laboratory Technician,4,2871,No,3,3,0,0
No,Travel_Frequently,Research & Development,4,Medical,2,3,Healthcare Representative,1,7484,No,4,2,13,12
Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,2,Laboratory Technician,3,6074,Yes,4,3,9,0
No,Non-Travel,Human Resources,3,Human Resources,4,4,Manager,4,17328,Yes,3,3,5,4
No,Travel_Rarely,Research & Development,1,Life Sciences,3,1,Laboratory Technician,3,2774,No,3,3,5,1
No,Travel_Rarely,Research & Development,4,Life Sciences,2,2,Research Scientist,2,4505,No,3,3,1,0
No,Travel_Rarely,Sales,3,Life Sciences,3,3,Sales Executive,4,7428,No,3,3,5,1
No,Travel_Rarely,Research & Development,3,Medical,2,3,Manager,1,11631,No,3,3,11,5
No,Travel_Frequently,Sales,2,Technical Degree,3,3,Sales Executive,4,9738,No,3,3,9,2
No,Travel_Rarely,Research & Development,2,Life Sciences,3,1,Laboratory Technician,4,2835,No,4,3,1,0
No,Travel_Frequently,Sales,2,Life Sciences,3,4,Manager,4,16959,Yes,3,4,25,4
No,Travel_Frequently,Research & Development,3,Life Sciences,1,1,Research Scientist,3,2613,No,4,2,10,0
No,Non-Travel,Sales,2,Marketing,3,2,Sales Executive,2,6146,No,3,4,7,0
Yes,Travel_Rarely,Research & Development,4,Life Sciences,3,1,Research Scientist,2,4963,Yes,3,3,5,4
No,Travel_Rarely,Research & Development,3,Life Sciences,3,5,Research Director,3,19537,No,3,3,20,15
Yes,Travel_Rarely,Sales,4,Life Sciences,1,2,Sales Executive,3,6172,Yes,3,2,7,7
No,Travel_Rarely,Research & Development,3,Other,2,1,Research Scientist,2,2368,No,3,2,5,4
Yes,Travel_Rarely,Research & Development,4,Medical,3,3,Healthcare Representative,4,10312,No,3,2,40,15
Yes,Travel_Rarely,Sales,1,Marketing,3,1,Sales Representative,3,1675,Yes,3,2,0,0
No,Travel_Rarely,Research & Development,1,Technical Degree,3,1,Laboratory Technician,4,2523,No,3,3,2,2
No,Travel_Rarely,Research & Development,4,Medical,3,2,Manufacturing Director,1,6567,No,3,2,15,5
No,Travel_Frequently,Research & Development,3,Medical,4,1,Research Scientist,3,4739,No,3,3,3,1
No,Travel_Frequently,Sales,3,Marketing,3,3,Sales Executive,4,9208,No,3,3,2,2
Yes,Travel_Rarely,Sales,3,Life Sciences,1,2,Sales Executive,3,4559,Yes,3,3,2,2
No,Travel_Rarely,Sales,1,Life Sciences,3,3,Sales Executive,3,8189,Yes,3,3,9,0
No,Travel_Rarely,Human Resources,1,Life Sciences,3,1,Human Resources,3,2942,No,4,3,8,5
No,Travel_Rarely,Research & Development,2,Medical,3,2,Manufacturing Director,2,4941,No,4,3,3,0
Yes,Travel_Frequently,Research & Development,4,Life Sciences,1,3,Manufacturing Director,4,10650,No,3,3,4,0
No,Travel_Rarely,Sales,4,Life Sciences,2,2,Sales Executive,3,5902,No,3,4,15,5
No,Travel_Rarely,Sales,3,Life Sciences,2,2,Sales Executive,3,8639,No,3,3,2,2
